timestamp;ecg
15;509
0;499
1;506
2;510
3;499
4;503
5;505
6;505
7;502
8;500
9;507
10;497
11;501
12;503
13;501
14;507
15;508
0;506
1;499
2;500
3;510
4;505
5;502
6;506
7;504
8;503
9;506
10;506
11;511
12;500
13;497
14;506
15;505
0;506
1;500
2;501
3;501
4;503
5;503
6;503
7;505
8;508
9;506
10;504
11;505
12;503
13;505
14;500
15;502
0;498
1;498
2;497
3;502
4;511
5;497
6;503
7;502
8;506
9;506
10;509
11;510
12;502
13;505
14;508
15;502
0;500
1;506
2;499
3;500
4;498
5;499
6;502
7;499
8;510
9;503
10;493
11;501
12;499
13;511
14;498
15;506
0;513
1;506
2;502
3;500
4;510
5;504
6;507
7;508
8;500
9;507
10;504
11;514
12;502
13;508
14;502
15;501
0;505
1;498
2;504
3;506
4;507
5;502
6;506
7;499
8;502
9;504
10;505
11;506
12;504
13;500
14;510
15;508
0;498
1;507
2;499
3;494
